School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Bolsa Grande High (Garden Grove Unified),Orange,Garden Grove Unified,High School,1995,26.7,0.1,53.7,0.4,0.9,37.9,0.6,0.1,1.8,4.7,69,24.1,11,5.5,499,464
Bonita High (Bonita Unified),Los Angeles,Bonita Unified,High School,1993,2.9,0.4,5.5,3.2,2.3,48.9,0.3,6,2.2,31.3,28.3,26.9,11,4.1,493,478
Bonita Vista Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,2496,6.8,0.2,2.3,3.1,7.8,67.7,0.4,7,0,11.5,30.3,25.3,13,2.7,508,480
Bonsall High (Bonsall Unified),San Diego,Bonsall Unified,High School,137,11.7,4.4,1.5,2.9,2.9,41.6,0,2.9,8.8,35,46.7,13,3,5.2,N/A,N/A
Boron Junior-Senior High (Muroc Joint Unified),Kern,Muroc Joint Unified,High School,243,2.5,0.4,0.8,5.3,0.4,33.3,0.4,5.3,0,53.9,64.6,14.3,9,7.7,0,0
Borrego Springs High (Borrego Springs Unified),San Diego,Borrego Springs Unified,High School,146,17.8,0,0,0,0,82.9,0,2.1,0,15.1,84.9,17.9,6,0,404,389
Boyle Heights STEM High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,132,22,0,0,0,0,100,0,0,0,0,88.6,16.5,14,0.7,N/A,N/A
Branham High (Campbell Union High),Santa Clara,Campbell Union High,High School,1514,5.9,0.4,12.5,2.6,2.1,27,0.9,3.7,0.1,50.7,11.8,23.2,8,3.4,536,527
Brawley High (Brawley Union High),Imperial,Brawley Union High,High School,1690,24.1,0.1,0.5,1.1,0.4,88.4,0,0.4,0.6,8.5,72.9,24.9,14,6.5,455,455
Brea-Olinda High (Brea-Olinda Unified),Orange,Brea-Olinda Unified,High School,1872,5.2,0.2,18.9,2,3.2,33.7,0.5,2.2,0.1,39.2,22,27.2,12,2.4,558,533
Bret Harte Union High (Bret Harte Union High),Calaveras,Bret Harte Union High,High School,674,1.8,2.2,0.7,0.1,0.7,21.7,0.1,6.4,0,68,55.8,18.9,14,8.1,529,521
Bright Star Secondary Charter Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,564,8.2,0,2.3,11,0.4,85.8,0,0,0,0.5,93.1,19.2,3,0,484,472
Buchanan High (Clovis Unified),Fresno,Clovis Unified,High School,2709,2.5,0.7,10.9,2.6,2.1,27,0.2,2.7,0,53.8,29.1,23.2,13,3,524,500
Buena High (Ventura Unified),Ventura,Ventura Unified,High School,1949,8.8,0.5,2.8,1.3,0.9,51.3,0.3,2.7,0,40.2,41.8,24.3,13,4.8,518,496
Buena Park High (Fullerton Joint Union High),Orange,Fullerton Joint Union High,High School,1913,15.9,0.3,6.6,6,4,73.4,0.8,1,0.2,7.6,80,26.7,14,5.3,466,454
Buhach Colony High (Merced Union High),Merced,Merced Union High,High School,1764,7,0.8,9.6,3.1,0.9,60.3,0.2,0.3,0.3,24.6,72.8,22.9,13,5,464,448
Bullard High (Fresno Unified),Fresno,Fresno Unified,High School,2639,4.4,0.6,5.5,12.2,0.7,49.6,0.7,1.6,0,29.2,56.7,23.3,15,6.7,459,453
Burbank High (Burbank Unified),Los Angeles,Burbank Unified,High School,2542,5.6,0.2,6,3,4,28.5,0.1,1.7,0.7,55.6,34.4,24.5,12,3.9,544,520
Burlingame High (San Mateo Union High),San Mateo,San Mateo Union High,High School,1339,5,0.1,16,0.8,3.4,18.7,1,7.6,0,52.4,6,19.7,9,2.2,579,566
Burney Junior-Senior High (Fall River Joint Unified),Shasta,Fall River Joint Unified,High School,216,1.4,12,0.9,0,0.5,13.9,0,6.9,0,65.7,60.2,14.8,9,10.2,0,0
Burroughs High (Sierra Sands Unified),Kern,Sierra Sands Unified,High School,1403,5.1,1.1,2.3,6.3,1.8,25.4,1.1,1.4,0,60.7,37.3,24.1,13,2.4,512,506
Burroughs High (Burbank Unified),Los Angeles,Burbank Unified,High School,2615,2.2,0.2,4.7,2.5,4.5,46.8,0.1,2.9,0.7,37.7,26.9,22.6,12,7.3,563,520
Burton (Phillip and Sala) Academic High (San Francisco Unified),San Francisco,San Francisco Unified,High School,1033,15.2,0.2,32.9,12,18.9,26.9,3.6,1.3,1.5,2.8,74.2,15.4,12,3,474,433
Butte Valley High (Butte Valley Unified),Siskiyou,Butte Valley Unified,High School,84,11.9,4.8,1.2,0,0,45.2,0,3.6,2.4,42.9,60.7,14.3,10,2.3,0,0
Butterfield Charter High (Porterville Unified),Tulare,Porterville Unified,High School,325,14.5,2.2,0.6,1.8,0.6,71.4,0.3,0.3,0.9,21.8,72.6,64.9,21,0.5,N/A,N/A
C. K. McClatchy High (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,2268,9,0.7,17.7,9.7,1.2,39.2,1.2,5.8,0,24.6,58.2,25.3,14,4.5,521,500
Cabrillo High (Long Beach Unified),Los Angeles,Long Beach Unified,High School,2630,21.2,0.2,3.5,14,9.2,68.4,2.2,0.5,0.5,1.6,80.7,23.1,14,9.3,504,490
Cabrillo High (Lompoc Unified),Santa Barbara,Lompoc Unified,High School,1463,9.4,0.8,2.5,3.3,1.8,43.9,0.3,6.2,0,41.4,41.1,22.4,12,4.3,387,381
Cajon High (San Bernardino City Unified),San Bernardino,San Bernardino City Unified,High School,2836,5.9,1,1.9,14.9,0.9,63.6,0.9,0.8,0.6,15.4,73.9,25.1,14,7.6,462,441
Calabasas High (Las Virgenes Unified),Los Angeles,Las Virgenes Unified,High School,1903,2.5,0.4,5.7,4.6,0.9,7.9,0.7,1.3,0.2,78.3,8.4,26.4,8,1,576,582
Calaveras High (Calaveras Unified),Calaveras,Calaveras Unified,High School,947,0.4,1.8,1.3,1.3,0.6,13.8,0.3,2.6,0,78.2,58.4,20.2,13,7.7,503,478
Calexico High (Calexico Unified),Imperial,Calexico Unified,High School,3036,52.5,0,0.3,0,0,99.2,0,0,0.1,0.4,82.6,23.9,8,3.6,454,436
California Academy of Mathematics and Science (Long Beach Unified),Los Angeles,Long Beach Unified,High School,681,N/A,0.3,15.7,13.4,14.1,42.3,1,3.8,0.4,9,42.6,28.4,13,0.1,605,590
California City High (Mojave Unified),Kern,Mojave Unified,High School,484,5,1,0.2,27.3,0.8,34.7,0.6,5.8,0,29.5,73.8,19.2,7,16.5,459,421
California Connections Academy@Central (Alpaugh Unified),Tulare,Alpaugh Unified,High School,403,3.5,0.2,1.7,4.2,0.5,43.2,0,6.9,0,43.2,49.9,42.2,2,0,0,0
California Heritage Youthbuild Academy II (Mono County Office of Education),Mono,Mono County Office of Education,High School,70,N/A,15.7,1.4,8.6,0,18.6,0,1.4,0,54.3,82.9,22.6,2,0,N/A,N/A
California High (San Ramon Valley Unified),Contra Costa,San Ramon Valley Unified,High School,2667,0.9,0.1,23.4,2.6,4.2,11.9,0.4,8.7,0,48.7,4.9,27.5,11,3.4,457,435
California High (Whittier Union High),Los Angeles,Whittier Union High,High School,2819,11,0.1,0.6,0.4,1.6,89.1,0.3,0.4,0.1,7.3,72,23.9,11,3.5,596,559
California Military Institute (Perris Union High),Riverside,Perris Union High,High School,1041,11.4,0.4,1.3,6.8,1,84.2,0.2,1.8,0.2,4,87.1,27.6,3,6.3,440,412
California Prep Sutter 8-12 (Meridian Elementary),Sutter,Meridian Elementary,High School,48,N/A,2.1,2.1,10.4,0,8.3,0,2.1,10.4,64.6,0,9.6,1,0,N/A,N/A
Calipatria High (Calipatria Unified),Imperial,Calipatria Unified,High School,370,25.9,0,0.3,3,0,86.5,0,0.8,0,9.5,77.3,16.7,9,6.2,464,460
Calistoga Junior-Senior High (Calistoga Joint Unified),Napa,Calistoga Joint Unified,High School,351,23.9,0.3,0.6,0,2.3,78.9,0.3,0,0.6,17.1,49.9,16.3,11,3,454,445
Camino Nuevo Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,324,22.2,0.3,0,0.3,1.2,96.6,0,0,1.5,0,89.5,26.6,2,4.1,398,394
Camino Nuevo High #2 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,472,10.4,0,0.4,0.6,1.9,97,0,0,0,0,96.6,24.2,4,2.3,N/A,N/A
Campolindo High (Acalanes Union High),Contra Costa,Acalanes Union High,High School,1300,0.7,0.1,14.8,0.8,1.6,8.2,0.1,9.1,1.6,63.8,2.1,20.7,13,1.2,607,611
Canoga Park Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1434,22.4,0.6,2.4,4.4,1.5,84.3,0.1,0.3,0.7,5.7,81.9,18.9,17,1,418,410
Canyon Crest Academy (San Dieguito Union High),San Diego,San Dieguito Union High,High School,2255,0.7,0.2,25.6,0.8,1.2,6.9,0.3,1.8,0,63.1,2.9,25.3,8,0.8,640,628
Canyon High (Orange Unified),Orange,Orange Unified,High School,2345,2.3,0.2,19,1.8,3.5,20,0.3,2.4,1.7,51,10.5,25.5,10,1,558,543
Canyon High (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,2327,13.1,0.1,2.4,4.1,3.7,48.6,0.2,3.4,0,37.4,22,25.7,12,1.5,484,479
Canyon Springs High (Moreno Valley Unified),Riverside,Moreno Valley Unified,High School,2464,7.5,0.3,3,17.7,2.1,60.3,0.6,1.6,0,14.4,70.9,23.8,12,6.2,413,418
Capistrano Valley High (Capistrano Unified),Orange,Capistrano Unified,High School,2241,7,0.2,6.5,0.8,2,29.3,0.1,5.7,0.8,54.8,23.1,27,14,2.4,564,536
Capuchino High (San Mateo Union High),San Mateo,San Mateo Union High,High School,1127,23.1,0,10.9,0.8,9.1,47.6,4.9,7,0,19.8,21.2,18.3,7,1.9,507,489
Carlmont High (Sequoia Union High),San Mateo,Sequoia Union High,High School,2147,4.3,0.6,18.5,2,3.3,18.2,1.6,6.2,0,49.6,10.7,21,11,3.3,598,571
Carlsbad High (Carlsbad Unified),San Diego,Carlsbad Unified,High School,2459,3.2,0.9,5.4,1.1,1.1,27.7,0.5,5.6,0.2,57.4,17.9,25.9,15,2.6,554,534
Carmel High (Carmel Unified),Monterey,Carmel Unified,High School,857,0.9,0.4,3.5,0.5,0.1,18.9,0.6,9.3,1.4,65.3,12.1,16.9,12,1.9,548,556
Carpinteria Senior High (Carpinteria Unified),Santa Barbara,Carpinteria Unified,High School,648,17.4,0.5,1.1,1.1,1.2,73.9,0.2,1.1,0,21,59.6,19.5,13,3.6,492,467
Carson Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1560,7.9,0.4,1.7,18,16.2,54.9,4.8,0.9,0.1,3.1,70.4,23.1,17,0,416,411
Carter G. Woodson Public Charter (Fresno Unified),Fresno,Fresno Unified,High School,329,14.6,0.9,1.8,12.8,0.3,75.1,0.3,0.6,0,8.2,99.4,25.5,4,11,N/A,N/A
Caruthers High (Caruthers Unified),Fresno,Caruthers Unified,High School,580,10.3,0.7,7.6,0,0,79.8,0.2,0.2,0,11.6,86.2,20.9,11,5.8,439,410
Casa Grande High (Petaluma Joint Union High),Sonoma,Petaluma Joint Union High,High School,1683,10,0.3,5.1,1.2,0.8,36.9,0.2,4.8,0.1,50.6,38.4,22.1,13,11.6,515,500
Casa Roble Fundamental High (San Juan Unified),Sacramento,San Juan Unified,High School,1262,1.3,2.5,1.7,2.9,1.5,12.8,0.4,0.1,0,78.2,31.1,22,14,11.4,504,485
Castle Park Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,1533,32.1,0.1,0.6,2.2,2.2,90.9,0.1,2.2,0,1.9,78.5,22,11,2.9,451,420
Castlemont High (Oakland Unified),Alameda,Oakland Unified,High School,564,32.8,0,1.1,36,0.7,55.1,5.7,0.2,0.7,0.5,80.7,14.4,6,6.8,337,349
Castro Valley High (Castro Valley Unified),Alameda,Castro Valley Unified,High School,2917,4.3,0.3,26.2,7.9,4.9,22.5,0.4,8.3,0.4,29.2,20.3,23.9,10,4.2,558,531
Cathedral City High (Palm Springs Unified),Riverside,Palm Springs Unified,High School,1623,19.7,0.4,0.9,2.8,2.4,87.4,0.2,0.5,0,5.3,83,21.4,12,4.6,444,434
Centennial High (Corona-Norco Unified),Riverside,Corona-Norco Unified,High School,3339,7.4,0.3,9.6,9.3,2.8,55.2,0.5,1.2,0.6,20.6,49.9,25.8,12,4.5,521,495
Centennial High (Compton Unified),Los Angeles,Compton Unified,High School,928,17.1,0.3,0,30.8,0,67.7,0.2,0.4,0.3,0.2,83,26.6,16,7.7,355,363
Centennial High (Kern High),Kern,Kern High,High School,1992,2.2,1,2.8,2.4,2.1,31,0.2,1.9,0.8,57.9,24.2,20.4,14,7.8,450,440
Center For Learning and Educational Success (San Bernardino City Unified),San Bernardino,San Bernardino City Unified,High School,75,17.3,0,0,26.7,0,61.3,0,1.3,0,10.7,66.7,0,N/A,0,N/A,N/A
Center High (Center Joint Unified),Sacramento,Center Joint Unified,High School,1298,6.6,1.4,7.5,13.9,2.9,23.2,0.8,3.5,0.1,46.9,57.6,22.2,13,16.2,531,474
Central City Value (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,483,14.1,0,0.8,0.8,1.9,93.8,0,0.4,2.3,0,90.9,23.8,4,1.6,399,408
Central Coast New Tech High (Lucia Mar Unified),San Luis Obispo,Lucia Mar Unified,High School,341,0.6,1.5,1.2,0.9,1.8,23.2,0,3.2,0.3,68,34,17,5,3,463,475
Central High East Campus (Central Unified),Fresno,Central Unified,High School,4142,6.3,0.7,14.6,9.9,1.2,54.3,0.3,1.4,0,17.7,62.8,21.7,9,9.9,433,434
Central Union High (Central Union High),Imperial,Central Union High,High School,1889,25.5,0.2,0.7,1.4,0,93.3,0.1,0.3,0,4,75.3,23.3,10,3.6,465,434
Central Valley High (Gateway Unified),Shasta,Gateway Unified,High School,644,2,7.5,2.8,2,0,14.3,0.8,2.5,0,70.2,64.9,19.3,6,18.5,468,488
Central Valley High (Ceres Unified),Stanislaus,Ceres Unified,High School,1834,12.5,0.6,6.1,1.4,0.7,79.1,0.5,0.7,0.1,10.8,83.3,23.6,5,13.9,428,426
Century High (Santa Ana Unified),Orange,Santa Ana Unified,High School,1883,30.1,0.1,1.9,0.1,0.1,97.2,0.2,0.1,0,0.4,96.3,20,14,4.6,411,387
Ceres High (Ceres Unified),Stanislaus,Ceres Unified,High School,1738,11.6,0.7,6.3,2,0.3,69.9,1.3,0.9,0.1,18.6,77.4,21.5,7,9,457,446
Cerritos High (ABC Unified),Los Angeles,ABC Unified,High School,2132,4.9,0,44.8,6.2,17.3,21.8,0.6,2.4,0,6.8,29.3,24.1,13,0.6,570,526
Cesar Chavez High (Stockton Unified),San Joaquin,Stockton Unified,High School,2177,15.2,2.9,18.6,16.1,7.1,48.6,0.8,1,0,4.9,75.3,26.3,10,7,431,428
Cesar E. Chavez High (Delano Joint Union High),Kern,Delano Joint Union High,High School,1345,22.5,0,0.9,0.5,8.8,87.8,0,0.2,0,1.7,84.2,22.2,11,1.7,457,431
Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE) (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,477,11.3,0,0.2,1.7,1,94.3,0,0.2,0.2,2.3,83.4,22.7,9,0,391,386
Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,509,9.6,0.2,0.2,2.4,0,94.5,0,0.2,0.4,2.2,88,18.2,8,0.9,421,424
Cesar E. Chavez Learning Academies-Teacher Preparation Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,482,18.7,0.4,0,2.3,0.4,94.4,0.2,0,0.2,2.1,80.7,20.7,9,0,379,372
Cesar E. Chavez Learning Academy - Arts/Theatre/Entertain Mag (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,498,8.8,0.4,0.2,5.6,0.4,90.8,0,0,0,2.6,83.5,20.3,11,0.4,371,398
Chaffey High (Chaffey Joint Union High),San Bernardino,Chaffey Joint Union High,High School,3482,19.4,0.3,1.3,2.4,0.4,88.1,0.3,0.6,1.1,5.5,87.4,24.7,14,5.6,454,442
CHAMPS - Charter HS of Arts-Multimedia & Performing (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,800,2.9,0.3,2,8.4,1.1,34.8,0.1,11,0,42.4,46.1,17,4,1.4,464,476
Channel Islands High (Oxnard Union High),Ventura,Oxnard Union High,High School,2433,26,0,0.5,1.1,6.2,89.5,0.4,0.7,0,1.6,73.8,25.9,11,5.9,454,432
Chaparral High (Temecula Valley Unified),Riverside,Temecula Valley Unified,High School,3163,3.3,0.7,3.6,5.4,7.4,37.2,0.4,6.9,0.2,38.3,23.8,25.5,12,4.3,493,479
Charter Alternatives Academy (Visalia Unified),Tulare,Visalia Unified,High School,87,24.1,2.3,3.4,4.6,0,81.6,0,0,3.4,4.6,72.4,10.6,5,49.1,N/A,N/A
Charter Oak High (Charter Oak Unified),Los Angeles,Charter Oak Unified,High School,1645,4.6,0.7,4.6,3.6,3,61.2,0.4,2.8,0,23.5,50.2,25.9,12,2.9,486,451
Charter School of San Diego (San Diego Unified),San Diego,San Diego Unified,High School,2226,13.9,0.4,2.2,9.9,2.5,60.3,0.9,1.5,0.8,21.6,74.2,31.4,5,0,448,456
Chatsworth Charter High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2068,9.1,0.4,9,6.2,4.4,61.3,0,0.7,0,17.9,65.2,22.2,15,0.4,448,447
Chester Junior/Senior High (Plumas Unified),Plumas,Plumas Unified,High School,163,0.6,3.7,1.8,0.6,1.2,11,0,2.5,0,79.1,41.7,14.3,12,8.1,0,0
Chico High (Chico Unified),Butte,Chico Unified,High School,1797,7.4,1.2,6.5,4,0.6,24.9,0.6,1.9,1.7,58.7,33.3,22.8,17,3.7,548,507
Chino High (Chino Valley Unified),San Bernardino,Chino Valley Unified,High School,2229,10.2,0.3,2.6,3.1,1.3,78.9,0.1,0.9,0,12.8,61.9,20.8,13,2.8,458,452
Chino Hills High (Chino Valley Unified),San Bernardino,Chino Valley Unified,High School,2912,3,0,13.8,5,6.7,41.9,0.4,3.2,0,29,27.8,27.2,10,1.7,498,473
Chowchilla Union High (Chowchilla Union High),Madera,Chowchilla Union High,High School,1066,11.4,1.1,1.5,2.9,0.4,59.8,0.2,0.3,0,33.8,68.9,23.5,8,4.9,443,436
Christopher High (Gilroy Unified),Santa Clara,Gilroy Unified,High School,1833,6.3,0.5,4.4,1.6,2.8,59.4,0.4,2.6,0.7,27.6,41,21.7,9,2.2,490,484
Chula Vista Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,2598,24.6,0.2,0.6,1.6,1.7,89.9,0.3,2.5,0,3.2,73.4,24.8,12,5,466,438
Citrus Hill High (Val Verde Unified),Riverside,Val Verde Unified,High School,2339,13.4,0.3,0.9,11.9,0.6,78.5,0.5,0.9,0,6.2,79.1,23.8,8,10.1,401,391
Citrus Valley High (Redlands Unified),San Bernardino,Redlands Unified,High School,2191,4.2,0.5,7.2,7,2.7,50.5,0.2,3.1,0.6,28,50.8,24.3,11,4.5,499,474
City Arts and Tech High (San Francisco Unified),San Francisco,San Francisco Unified,High School,340,10.9,0.9,1.2,20.6,4.7,57.6,2.6,4.1,2.9,5.3,73.5,18.1,4,15.4,408,398
City High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,61,N/A,0,4.9,36.1,0,26.2,1.6,0,3.3,27.9,32.8,10.2,1,8.2,N/A,N/A
City Honors College Preparatory Academy (Inglewood Unified),Los Angeles,Inglewood Unified,High School,294,5.8,0,0.7,55.8,1.4,40.8,0.7,0.3,0.3,0,39.5,24.5,9,0,409,423
Civicorps Corpsmember Academy (Oakland Unified),Alameda,Oakland Unified,High School,78,7.7,0,9,61.5,1.3,24.4,0,1.3,2.6,0,88.5,15.6,3,0.7,N/A,N/A
Clairemont High (San Diego Unified),San Diego,San Diego Unified,High School,1000,11.2,0.4,5.8,1.8,0.9,51.8,0.2,5.4,0.4,33.3,55.5,16.8,13,3.2,490,482
Claremont High (Claremont Unified),Los Angeles,Claremont Unified,High School,2359,2.4,0.1,10.6,5.1,1.1,39,0.2,4.8,4.3,34.6,32.4,25.1,12,2.6,537,526
Classical Academy High (Escondido Union High),San Diego,Escondido Union High,High School,1084,0.2,0.3,2.5,1.3,0.8,18.3,0.3,8.6,1.6,66.4,16.3,26,5,0,557,548
Clayton Valley Charter High (Contra Costa County Office of Education),Contra Costa,Contra Costa County Office of Education,High School,1984,3.9,0.5,7.6,3.3,4.5,20.2,0.7,7.4,0.4,55.5,17.8,25.8,2,4.2,505,501
Clear Lake High (Lakeport Unified),Lake,Lakeport Unified,High School,397,2.3,6,1.3,0.8,2,28,0,3.8,0,58.2,46.1,22.7,12,3.5,507,472
Clear Passage Educational Center (Long Beach Unified),Los Angeles,Long Beach Unified,High School,4,N/A,0,0,50,0,50,0,0,0,0,0,2,1,0,N/A,N/A
Cloverdale High (Cloverdale Unified),Sonoma,Cloverdale Unified,High School,389,20.8,3.3,0.8,0,0,50.1,0.5,2.3,0.3,42.7,49.4,17.2,13,4.6,484,478
Clovis East High (Clovis Unified),Fresno,Clovis Unified,High School,2203,4.9,0.9,25.1,2.5,3.1,37.9,0.2,2.3,0,28,54.4,20.9,10,4,456,449
Clovis High (Clovis Unified),Fresno,Clovis Unified,High School,2939,1.4,0.9,8.3,2.2,1.3,36.6,0.3,2.9,0,47.5,47.3,21.1,12,4.1,493,480
Clovis North High (Clovis Unified),Fresno,Clovis Unified,High School,2459,1.6,0.4,15.5,3.1,3.5,23.1,0.1,3.7,0,50.8,21.3,23,9,2.7,548,521
Clovis Online Charter (Clovis Unified),Fresno,Clovis Unified,High School,299,2.3,0.3,6.4,2.3,0.3,34.1,0,1.3,0,55.2,31.4,21.6,13,0,0,0
Clovis West High (Clovis Unified),Fresno,Clovis Unified,High School,2095,2.5,0.7,8.9,5.5,1.8,39.5,0.3,2.8,0,40.4,42.4,20.5,14,3.8,507,489
Coachella Valley High (Coachella Valley Unified),Riverside,Coachella Valley Unified,High School,2619,24.2,0.1,0,0.2,0.2,97.5,0,0.1,1.2,0.7,90.2,25.6,13,7.1,425,407
Coalinga High (Coalinga-Huron Unified),Fresno,Coalinga-Huron Unified,High School,1183,27.3,0,1.6,0.9,0.3,85.1,0,0.3,0.4,11.4,74.9,20.9,10,7.9,434,430
Coast Union High (Coast Unified),San Luis Obispo,Coast Unified,High School,230,19.6,0.4,2.6,0.4,0.4,48.7,1.3,0.4,2.6,43,48.7,14.6,12,7.3,494,487
Cobalt Institute of Math and Science Academy (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,864,10.8,0.8,3,14.8,1.5,67.7,0.3,1.5,0.2,10.1,72.9,26.9,10,4.3,473,485
Cold Springs High (Summerville Union High),Tuolumne,Summerville Union High,High School,4,N/A,0,0,0,0,0,0,0,0,100,0,2,16,0,N/A,N/A
Coleville High (Eastern Sierra Unified),Mono,Eastern Sierra Unified,High School,66,4.5,10.6,0,1.5,1.5,30.3,1.5,1.5,0,53,51.5,10.3,12,1.4,0,0
Colfax High (Placer Union High),Placer,Placer Union High,High School,606,0.5,1.3,0.2,0.2,0.3,7.6,0,4,0,86.5,31.5,23.6,13,4.5,523,514
Coliseum College Prep Academy (Oakland Unified),Alameda,Oakland Unified,High School,482,31.5,0,1.5,12,0,85.3,0.8,0,0.2,0.2,95.6,18,6,1.4,407,397
College and Career Preparatory Academy (Orange County Department of Education),Orange,Orange County Department of Education,High School,16,43.8,0,0,0,6.3,68.8,0,0,0,25,87.5,16,11,0,N/A,N/A
College Bridge Academy (Inyo County Office of Education),Inyo,Inyo County Office of Education,High School,365,10.1,0,0,18.1,0.3,80.8,0,0.3,0.5,0,98.4,16.3,3,0,326,334
College Park High (Mt. Diablo Unified),Contra Costa,Mt. Diablo Unified,High School,2013,4.1,0.4,9.4,3.5,5,23.4,0.5,2.1,1.4,54.2,21.6,23.7,12,3.3,555,527
College Prep High (Hemet Unified),Riverside,Hemet Unified,High School,69,N/A,0,1.4,10.1,1.4,43.5,0,2.9,0,40.6,63.8,13.8,10,1.2,421,418
Collegiate Charter High School of Los Angeles (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,54,16.7,0,0,0,0,98.1,0,0,0,1.9,92.6,9.5,1,9.5,N/A,N/A
Colony High (Chaffey Joint Union High),San Bernardino,Chaffey Joint Union High,High School,2135,12,0.1,3.7,11.7,1.9,70.3,0.5,1.3,0.6,9.9,72.7,25.1,11,5.6,470,451
Colton High (Colton Joint Unified),San Bernardino,Colton Joint Unified,High School,1953,13.6,0.1,0.6,2.3,0.1,92.2,0.2,0.2,0,4.4,81.8,20.4,15,3.9,442,438
Colusa High (Colusa Unified),Colusa,Colusa Unified,High School,371,14.8,2.4,1.1,0,0,61.2,0.3,0,0,35,47.2,18.4,11,6.5,461,438
Come Back Kids (Riverside County Office of Education),Riverside,Riverside County Office of Education,High School,643,16,1.4,0.5,10,0.3,68.7,0.5,1.9,0.3,16.5,69.7,24.8,8,0.4,N/A,N/A
Communication and Technology at Diego Rivera Learning Complex (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,542,28.4,0.2,0,4.4,0,95,0,0.2,0,0.2,87.6,22.3,11,1.7,417,396
Compton Early College High (Compton Unified),Los Angeles,Compton Unified,High School,113,N/A,0,0,18.6,0,78.8,1.8,0,0.9,0,43.4,20.4,7,4.7,N/A,N/A
Compton High (Compton Unified),Los Angeles,Compton Unified,High School,1783,19.3,0.2,0,16.3,0.1,83,0.2,0.1,0,0.2,81.3,21.9,12,5,404,412
Concord High (Mt. Diablo Unified),Contra Costa,Mt. Diablo Unified,High School,1555,12.9,0.6,5.2,4.9,6.9,45.3,0.6,1.7,1.3,33.4,46.9,20.9,9,5,491,475
Connections Visual and Performing Arts Academy (Summerville Union High),Tuolumne,Summerville Union High,High School,227,0.4,2.6,1.3,0.9,0.4,11.9,0,3.1,0.4,79.3,25.6,177.4,6,0,N/A,N/A
Conservation Corps of Long Beach Gateway Cities Charter (Glenn County Office of Education),Glenn,Glenn County Office of Education,High School,78,15.4,1.3,9,47.4,0,32.1,1.3,2.6,0,6.4,53.8,25.2,1,0,N/A,N/A
Conservatory of Vocal/Instrumental Arts High (Oakland Unified),Alameda,Oakland Unified,High School,34,N/A,0,5.9,58.8,0,26.5,0,0,0,8.8,52.9,11.3,1,4.5,N/A,N/A
Contreras Learning Center-Academic Leadership Community (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,472,31.8,0,0.4,0.8,1.3,95.3,0.2,0.8,0.2,0.8,91.9,20.7,12,0.2,406,385
