"","District Name","School Name","County Name","School Type (School)","Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
"637","Los Angeles Unified","Venice Senior High","Los Angeles","High School","2005","9","0.4","6","12.8","1","64.1","0.3","1","0.4","13.8","68.9","21.7","18","0.4","475","458","12910","59","13","9","2","0","0","7","10","73658"
"638","Los Angeles Unified","Granada Hills Charter High","Los Angeles","High School","4480","3.2","0.2","18.1","3.7","10.1","38.7","0.4","1.4","1.3","26.1","53","26.6","8","0.2","548","526","12910","59","13","9","2","0","0","7","10","73658"
"639","Los Angeles Unified","PUC Early College Academy for Leaders and Scholars","Los Angeles","High School","455","8.6","0.7","0.9","0.9","2","93.8","0","0","1.5","0.2","74.1","16.9","3","1","419","404","12910","59","13","9","2","0","0","7","10","73658"
"640","Los Angeles Unified","Performing Arts Community at Diego Rivera Learning Complex","Los Angeles","High School","544","23.9","0","0","10.1","0","89","0","0.2","0","0.7","90.6","22.4","13","0","383","385","12910","59","13","9","2","0","0","7","10","73658"
"641","Los Angeles Unified","David Starr Jordan Senior High","Los Angeles","High School","557","33.6","0","0.2","16.9","0","80.6","0.4","0.4","0.5","1.1","89.6","16.4","11","1.9","380","359","12910","59","13","9","2","0","0","7","10","73658"
"642","Los Angeles Unified","Alliance Marc & Eva Stern Math and Science","Los Angeles","High School","601","6.8","0.5","1","0.8","0.3","96.7","0","0","0","0.7","89.2","18.2","2","1.7","434","435","12910","59","13","9","2","0","0","7","10","73658"
"643","Los Angeles Unified","School of History and Dramatic Arts at Sonia Sotomayor Learning Academies","Los Angeles","High School","361","15.2","0","1.7","0.6","3.6","91.1","0.3","0","0","2.8","83.9","19.8","13","0.8","384","394","12910","59","13","9","2","0","0","7","10","73658"
"644","Los Angeles Unified","Math, Science, & Technology Magnet Academy at Roosevelt High","Los Angeles","High School","467","2.4","0.2","0.6","0.2","0","97.9","0","0","0","1.1","89.5","22.8","12","0","450","424","12910","59","13","9","2","0","0","7","10","73658"
"645","Los Angeles Unified","Leadership in Entertainment and Media Arts","Los Angeles","High School","170","24.7","0","7.1","2.4","0","88.8","0","0","0","1.8","82.4","15.5","15","0.5","405","410","12910","59","13","9","2","0","0","7","10","73658"
"646","Los Angeles Unified","University Senior High","Los Angeles","High School","1671","8.7","0.2","7.5","23.5","1.9","54.8","0.4","0.8","0.7","10.2","71","21.2","15","1.2","465","454","12910","59","13","9","2","0","0","7","10","73658"
"647","Los Angeles Unified","Camino Nuevo Charter High","Los Angeles","High School","324","22.2","0.3","0","0.3","1.2","96.6","0","0","1.5","0","89.5","26.6","2","4.1","398","394","12910","59","13","9","2","0","0","7","10","73658"
"648","Los Angeles Unified","Camino Nuevo High #2","Los Angeles","High School","472","10.4","0","0.4","0.6","1.9","97","0","0","0","0","96.6","24.2","4","2.3","N/A","N/A","12910","59","13","9","2","0","0","7","10","73658"
"649","Los Angeles Unified","Los Angeles High School of the Arts","Los Angeles","High School","430","20.7","0","9.5","2.8","5.3","79.3","0.2","0","0.7","2.1","86.5","17.8","11","0.2","424","424","12910","59","13","9","2","0","0","7","10","73658"
"650","Los Angeles Unified","Animo Venice Charter High","Los Angeles","High School","599","14.4","0","0","3.5","0.3","89.3","0","1","4.7","1.2","87.3","22.2","5","8.2","423","417","12910","59","13","9","2","0","0","7","10","73658"
"651","Los Angeles Unified","Boyle Heights STEM High","Los Angeles","High School","132","22","0","0","0","0","100","0","0","0","0","88.6","16.5","14","0.7","N/A","N/A","12910","59","13","9","2","0","0","7","10","73658"
"652","Los Angeles Unified","Daniel Pearl Journalism & Communications Magnet","Los Angeles","High School","366","2.5","0.8","3.8","5.7","6","53","0.5","0.8","0.8","28.4","56","20.3","13","2.1","449","453","12910","59","13","9","2","0","0","7","10","73658"
"653","Los Angeles Unified","Wallis Annenberg High","Los Angeles","High School","482","17.6","0","0","6.4","0.4","92.5","0","0.2","0.4","0","96.9","21","3","1","424","404","12910","59","13","9","2","0","0","7","10","73658"
"654","Los Angeles Unified","Thomas Jefferson Senior High","Los Angeles","High School","797","28.1","0.1","0","10.2","0.1","88.5","0.1","0.3","0.4","0.4","80.9","20.6","14","3.3","394","383","12910","59","13","9","2","0","0","7","10","73658"
"655","Los Angeles Unified","San Pedro Senior High","Los Angeles","High School","2489","5.7","0.7","1.9","7.2","1.4","67.9","0.9","0.7","0.2","19","60.7","21.7","18","0.5","458","453","12910","59","13","9","2","0","0","7","10","73658"
"656","Los Angeles Unified","Collegiate Charter High School of Los Angeles","Los Angeles","High School","54","16.7","0","0","0","0","98.1","0","0","0","1.9","92.6","9.5","1","9.5","N/A","N/A","12910","59","13","9","2","0","0","7","10","73658"
"657","Los Angeles Unified","Math and Science College Preparatory","Los Angeles","High School","396","16.9","0.5","2","11.9","1","83.3","0.3","0.3","0","0.8","88.1","16.8","2","1","N/A","N/A","12910","59","13","9","2","0","0","7","10","73658"
"658","Los Angeles Unified","Cesar E. Chavez Learning Academies-Teacher Preparation Academy","Los Angeles","High School","482","18.7","0.4","0","2.3","0.4","94.4","0.2","0","0.2","2.1","80.7","20.7","9","0","379","372","12910","59","13","9","2","0","0","7","10","73658"
"659","Los Angeles Unified","Environmental and Social Policy Magnet","Los Angeles","High School","147","11.6","1.4","1.4","0","0","95.2","0","0.7","0","1.4","83","10.5","16","1.2","0","0","12910","59","13","9","2","0","0","7","10","73658"
"660","Los Angeles Unified","Communication and Technology at Diego Rivera Learning Complex","Los Angeles","High School","542","28.4","0.2","0","4.4","0","95","0","0.2","0","0.2","87.6","22.3","11","1.7","417","396","12910","59","13","9","2","0","0","7","10","73658"
"661","Los Angeles Unified","Engineering and Technology Academy at Esteban E. Torres High No. 3","Los Angeles","High School","413","19.4","0","0","0","0.2","99.8","0","0","0","0","87.4","19.4","17","3.1","393","359","12910","59","13","9","2","0","0","7","10","73658"
"662","Los Angeles Unified","Contreras Learning Center-Academic Leadership Community","Los Angeles","High School","472","31.8","0","0.4","0.8","1.3","95.3","0.2","0.8","0.2","0.8","91.9","20.7","12","0.2","406","385","12910","59","13","9","2","0","0","7","10","73658"
"663","Los Angeles Unified","Los Angeles Senior High","Los Angeles","High School","1380","21.5","0.4","5","13","1.7","77.9","0.1","0.4","0.1","1.3","86.4","18.4","16","2.4","430","404","12910","59","13","9","2","0","0","7","10","73658"
"664","Los Angeles Unified","John H. Francis Polytechnic","Los Angeles","High School","2876","14.4","0.1","1.7","1","2.5","91.6","0.2","0.2","0","2.6","88.9","20.4","15","0","436","416","12910","59","13","9","2","0","0","7","10","73658"
"665","Los Angeles Unified","West Adams Preparatory High","Los Angeles","High School","1547","30.9","0.1","1","6.5","0.1","90.8","0.1","0.1","0.6","0.8","90.5","17.1","12","0.1","399","376","12910","59","13","9","2","0","0","7","10","73658"
"666","Los Angeles Unified","Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy","Los Angeles","High School","509","9.6","0.2","0.2","2.4","0","94.5","0","0.2","0.4","2.2","88","18.2","8","0.9","421","424","12910","59","13","9","2","0","0","7","10","73658"
"667","Los Angeles Unified","Maywood Academy High","Los Angeles","High School","1377","15.4","0.1","0.1","0","0.1","98.9","0","0","0","0.7","88.6","24.2","13","0.3","412","424","12910","59","13","9","2","0","0","7","10","73658"
"668","Los Angeles Unified","Social Justice Leadership Academy at Esteban E. Torres High No. 5","Los Angeles","High School","406","20.2","0.2","0.2","0.2","0.2","97.5","0.2","0.2","0","1","89.4","21.1","16","0","370","380","12910","59","13","9","2","0","0","7","10","73658"
"669","Los Angeles Unified","John F. Kennedy High","Los Angeles","High School","2099","8.6","0.3","2.4","3","3.7","80.1","0.2","0.4","0.3","9.5","68.9","21.4","11","0.1","511","477","12910","59","13","9","2","0","0","7","10","73658"
"670","Los Angeles Unified","CHAMPS - Charter HS of Arts-Multimedia & Performing","Los Angeles","High School","800","2.9","0.3","2","8.4","1.1","34.8","0.1","11","0","42.4","46.1","17","4","1.4","464","476","12910","59","13","9","2","0","0","7","10","73658"
"671","Los Angeles Unified","Los Angeles Leadership Academy","Los Angeles","High School","538","18.2","0.7","3.7","0.2","0","90.9","0.2","0.4","2.2","1.7","87.7","16.8","2","5.9","402","411","12910","59","13","9","2","0","0","7","10","73658"
"672","Los Angeles Unified","Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine","Los Angeles","High School","686","16.9","0","0","0.1","0","97.7","0","0","0.3","1.9","89.9","26.1","12","0","398","416","12910","59","13","9","2","0","0","7","10","73658"
"673","Los Angeles Unified","Pathways Community","Los Angeles","High School","183","28.4","0","0","17.5","0","82","0","0.5","0","0","100","12.6","1","7.3","N/A","N/A","12910","59","13","9","2","0","0","7","10","73658"
"674","Los Angeles Unified","James A. Garfield Senior High","Los Angeles","High School","2525","12.1","0","0.2","0.6","0.2","98.5","0","0","0.2","0.4","88.2","22.7","17","0","426","416","12910","59","13","9","2","0","0","7","10","73658"
"675","Los Angeles Unified","Eagle Rock High","Los Angeles","High School","2377","6.4","0.5","7.7","1.6","21","57","0.3","1.2","0","10.8","57.3","22.7","19","0.1","480","469","12910","59","13","9","2","0","0","7","10","73658"
"676","Los Angeles Unified","Los Angeles Academy of Arts & Enterprise Charter","Los Angeles","High School","382","38","0","0","0.8","0.8","96.3","0","0","1.8","0.3","98.7","27.1","3","1","392","370","12910","59","13","9","2","0","0","7","10","73658"
"677","Los Angeles Unified","Fairfax Senior High","Los Angeles","High School","2047","8.4","0.2","14.9","17","3.9","54.7","0.1","0.7","0.6","7.8","76.5","23.9","17","0.2","478","452","12910","59","13","9","2","0","0","7","10","73658"
"678","Los Angeles Unified","South Gate Senior High","Los Angeles","High School","2872","14.4","0.2","0.1","1","0.1","97.8","0","0.1","0.3","0.3","88.3","24.6","17","0.4","409","405","12910","59","13","9","2","0","0","7","10","73658"
"679","Los Angeles Unified","School for the Visual Arts and Humanities","Los Angeles","High School","435","27.8","0.2","9.9","1.8","2.1","83.9","0.5","0.5","0.2","0.9","89.7","18.4","9","0.6","408","377","12910","59","13","9","2","0","0","7","10","73658"
"680","Los Angeles Unified","Renaissance Arts Academy","Los Angeles","High School","357","5.9","0.8","5.3","7.3","3.6","55.7","0","0","0","27.2","64.7","30.6","7","0","535","537","12910","59","13","9","2","0","0","7","10","73658"
"681","Los Angeles Unified","Dr. Maya Angelou Community High","Los Angeles","High School","1116","28.9","0","0","9.3","0","89.8","0.1","0","0.4","0.4","86.6","22.5","14","0.6","372","375","12910","59","13","9","2","0","0","7","10","73658"
"682","Los Angeles Unified","International Studies Learning Center at Legacy High School Complex","Los Angeles","High School","863","7.5","0","0.1","0.3","0.1","98.8","0","0.1","0","0.5","90.2","21.8","13","0.2","451","442","12910","59","13","9","2","0","0","7","10","73658"
"683","Los Angeles Unified","New Designs Charter School-Watts","Los Angeles","High School","438","28.5","0","0","46.8","0","53","0","0","0","0.2","92.7","48.7","3","0","0","0","12910","59","13","9","2","0","0","7","10","73658"
"684","Los Angeles Unified","Oscar De La Hoya Animo Charter High","Los Angeles","High School","620","12.3","0","0","0","0","99.5","0","0","0.3","0.2","93.5","23","6","4.5","411","426","12910","59","13","9","2","0","0","7","10","73658"
"685","Los Angeles Unified","Canoga Park Senior High","Los Angeles","High School","1434","22.4","0.6","2.4","4.4","1.5","84.3","0.1","0.3","0.7","5.7","81.9","18.9","17","1","418","410","12910","59","13","9","2","0","0","7","10","73658"
"686","Los Angeles Unified","John C. Fremont Senior High","Los Angeles","High School","2001","24","0.2","0","9.3","0","89.2","0","0.2","0","1","91.1","21","12","0.5","397","394","12910","59","13","9","2","0","0","7","10","73658"
"687","Los Angeles Unified","Phineas Banning Senior High","Los Angeles","High School","1994","11.3","0.4","0.1","1.6","0.7","93.9","1.5","0.2","0","1.8","87.6","21.8","16","2","411","392","12910","59","13","9","2","0","0","7","10","73658"
"688","Los Angeles Unified","Taft Charter High","Los Angeles","High School","2441","8","0.5","6","11.1","2.8","37.2","0.3","1.3","0.3","40.6","61.1","26.2","17","1.2","517","511","12910","59","13","9","2","0","0","7","10","73658"
"689","Los Angeles Unified","Los Angeles Big Picture High","Los Angeles","High School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12910","59","13","9","2","0","0","7","10","73658"
"690","Los Banos Unified","Pacheco High","Merced","High School","1503","16.8","0.7","1.1","2.4","1.5","82.5","1.1","0.8","0","9.8","81.9","22.8","7","10.4","434","424","9803","60","9","8","1","0","0","6","14","N/A"
"691","Los Banos Unified","Los Banos High","Merced","High School","1440","14.9","0.6","1.1","1.7","0.8","71","0.8","1","0","23","65.3","22.9","8","9.5","458","448","9803","60","9","8","1","0","0","6","14","N/A"
"692","Los Gatos-Saratoga Joint Union High","Los Gatos High","Santa Clara","High School","1977","2","0.1","9.9","0.6","0.4","9.9","0.2","9.7","1","68.3","2.6","21.5","10","2.2","604","585","15171","60","10","7","3","0","0","8","12","103940"
"693","Los Gatos-Saratoga Joint Union High","Saratoga High","Santa Clara","High School","1324","1.7","0","59","0.2","0.5","5.1","0.1","7.9","0.8","26.4","0","17.9","10","1.7","692","670","15171","60","10","7","3","0","0","8","12","103940"
"694","Los Molinos Unified","Los Molinos High","Tehama","High School","173","5.8","1.7","0.6","1.2","0","45.7","0.6","1.7","0","48.6","68.2","15.4","13","4.1","0","0","12791","56","14","7","2","0","0","8","11","N/A"
"695","Lucerne Valley Unified","Lucerne Valley High","San Bernardino","High School","222","3.2","0.9","2.3","3.6","0.9","46.4","0","2.3","0","43.7","77.9","18.2","11","18.6","476","426","13440","52","10","6","0","0","0","9","14","73503"
"696","Lucia Mar Unified","Arroyo Grande High","San Luis Obispo","High School","2205","5.9","0.5","2.4","0.6","1.3","32.4","0.3","2.9","0","59.5","39.4","21.4","12","5.1","536","521","9587","65","9","8","1","0","0","6","9","64375"
"697","Lucia Mar Unified","Nipomo High","San Luis Obispo","High School","964","11.1","0.3","0.8","0.4","0.6","56.3","0.2","1.5","0","39.8","57.9","18.6","7","6.6","479","457","9587","65","9","8","1","0","0","6","9","64375"
"698","Lucia Mar Unified","Central Coast New Tech High","San Luis Obispo","High School","341","0.6","1.5","1.2","0.9","1.8","23.2","0","3.2","0.3","68","34","17","5","3","463","475","9587","65","9","8","1","0","0","6","9","64375"
"699","Lynwood Unified","Marco Antonio Firebaugh High","Los Angeles","High School","1831","16.8","0","0.1","4.6","0.1","94.2","0.4","0.1","0","0.6","86.8","23.5","10","4.1","408","402","10852","54","13","6","0","1","0","8","14","77992"
"700","Lynwood Unified","Lynwood High","Los Angeles","High School","2352","17.9","0","0.1","7.4","0","91.7","0.2","0","0","0.5","93.8","24","13","5.7","400","390","10852","54","13","6","0","1","0","8","14","77992"
"701","Madera County Office of Education","Pioneer Technical Center","Madera","High School","160","25","0.6","0","1.9","0","75.6","0","2.5","0.6","18.8","90.6","14.6","7","1.7","N/A","N/A","N/A","37","16","15","0","2","0","16","8","64715"
"702","Madera Unified","Madera South High","Madera","High School","2916","17.1","0.7","0.6","2.7","0.2","90.3","0","0.1","0.2","5.2","89.1","23.4","9","10","414","403","10130","58","12","9","2","0","0","6","11","68273"
"703","Madera Unified","Sherman Thomas Charter High","Madera","High School","68","5.9","0","0","4.4","0","63.2","0","1.5","1.5","29.4","66.2","21.9","6","3.7","0","0","10130","58","12","9","2","0","0","6","11","68273"
"704","Madera Unified","Madera High","Madera","High School","2139","8.5","0.3","2.5","1.9","0.3","82.2","0.1","0.7","0.2","11.8","74.7","24.1","12","16.4","452","435","10130","58","12","9","2","0","0","6","11","68273"
"705","Mammoth Unified","Mammoth High","Mono","High School","331","7.3","0.9","0.6","0.3","0.3","55.9","0","4.8","0","37.2","52.9","16","6","3.1","521","496","11225","63","7","5","1","0","0","6","14","69510"
"706","Manhattan Beach Unified","Mira Costa High","Los Angeles","High School","2437","1","0","9","5.5","1.1","15.4","0.2","10.8","0","58","5.5","22.7","8","1.8","585","573","10920","65","9","6","1","0","0","6","11","82686"
"707","Manteca Unified","Manteca High","San Joaquin","High School","1511","11.8","0.7","6.6","5.2","4.1","54.1","0.9","1.1","0","27.3","50.6","20.6","12","20","490","465","9419","64","13","7","0","0","1","5","9","77022"
"708","Manteca Unified","East Union High","San Joaquin","High School","1579","9.7","1.2","5.1","2.9","2.7","54.1","0.9","0.9","0","32.1","48.3","21.9","12","16.5","494","467","9419","64","13","7","0","0","1","5","9","77022"
"709","Manteca Unified","Lathrop High","San Joaquin","High School","1261","10.8","0.8","10.3","8.6","14.6","50.5","1.2","1.7","0","12.3","51.6","21.9","9","15.3","449","448","9419","64","13","7","0","0","1","5","9","77022"
"710","Manteca Unified","Sierra High","San Joaquin","High School","1358","5.8","1","9.1","5","5.8","49.3","1","2","0","26.9","41.4","21.3","15","6.5","479","454","9419","64","13","7","0","0","1","5","9","77022"
"711","Manteca Unified","Weston Ranch High","San Joaquin","High School","1232","10.4","0.1","12","22.9","10.8","45.6","1","1.1","0","6.6","65.6","21.9","8","28.3","461","443","9419","64","13","7","0","0","1","5","9","77022"
"712","Manteca Unified","be.tech","San Joaquin","High School","208","10.1","1.9","1.9","3.8","3.8","45.7","1.4","1.4","0","39.9","49.5","12.2","12","6.6","N/A","N/A","9419","64","13","7","0","0","1","5","9","77022"
"713","Maricopa Unified","Insight School of California","Kern","High School","595","1.5","1.2","2.4","7.9","0.3","32.3","0.2","8.4","1.8","45.5","64.7","18.3","3","0","N/A","N/A","14631","53","6","9","0","0","0","9","14","N/A"
"714","Maricopa Unified","Maricopa High","Kern","High School","81","13.6","1.2","0","0","0","28.4","0","2.5","0","67.9","85.2","8.7","5","18.3","0","0","14631","53","6","9","0","0","0","9","14","N/A"
"715","Marin County Office of Education","Phoenix Academy","Marin","High School","2","N/A","0","0","0","0","50","0","50","0","0","0","2.5","5","0","N/A","N/A","N/A","43","28","3","1","0","0","21","4","N/A"
"716","Mariposa County Unified","Yosemite Park High","Mariposa","High School","1","N/A","0","0","0","0","0","0","0","0","100","0","0.5","14","0","N/A","N/A","11171","55","11","12","1","0","0","7","13","61467"
"717","Mariposa County Unified","Mariposa County High","Mariposa","High School","522","1.1","4.6","1.1","0.6","0.4","14.6","0.2","6.1","2.1","70.3","47.9","17","14","9.4","524","466","11171","55","11","12","1","0","0","7","13","61467"
"718","Mariposa County Unified","Coulterville High","Mariposa","High School","5","N/A","0","0","0","0","60","0","0","0","40","0","4.5","15","20","N/A","N/A","11171","55","11","12","1","0","0","7","13","61467"
"719","Martinez Unified","Alhambra Senior High","Contra Costa","High School","1179","5.6","0.2","4.3","2.7","3.7","27.5","0.3","8.7","0.8","51.9","28.1","21.1","9","4.3","527","496","9828","67","10","6","0","0","0","7","8","70652"
"720","Marysville Joint Unified","Marysville Charter Academy for the Arts","Yuba","High School","376","3.7","2.7","4.5","2.4","0.3","36.4","0","8.5","0","45.2","44.4","18.3","10","1","500","513","10066","55","10","11","1","0","0","6","13","69776"
"721","Marysville Joint Unified","Marysville High","Yuba","High School","893","7.6","4.8","7.7","5","0.7","29","0.4","1.7","0.7","49.9","61.9","23","14","7.4","509","481","10066","55","10","11","1","0","0","6","13","69776"
"722","Marysville Joint Unified","Lindhurst High","Yuba","High School","1122","24.2","2","14.3","4","1","52.1","0.3","1.7","0.7","24","84","23","12","10.7","456","418","10066","55","10","11","1","0","0","6","13","69776"
"723","Mattole Unified","Mattole Triple Junction High","Humboldt","High School","9","N/A","0","0","0","0","0","0","0","0","100","0","2.2","6","0","0","0","21846","50","5","15","0","0","0","11","18","41083"
"724","Maxwell Unified","Maxwell Sr High","Colusa","High School","108","21.3","6.5","0.9","0","0","49.1","0","0.9","0","42.6","12","19.7","9","26.6","0","0","12049","60","6","5","0","0","0","13","13","62108"
"725","McFarland Unified","McFarland High","Kern","High School","860","19.3","0.1","0.3","0.8","0.3","97","0","0","0","1.4","83.4","23.3","10","5.8","398","382","9538","55","12","6","1","1","0","6","16","66950"
"726","Mendocino Unified","Mendocino High","Mendocino","High School","192","1.6","2.1","2.1","1.6","0.5","8.9","0.5","0.5","1.6","82.3","24","12.9","9","6.6","544","544","15590","57","13","9","2","0","0","9","11","58613"
"727","Mendota Unified","Mendota High","Fresno","High School","844","51.1","0","0","0","0","98.8","0","0","0.6","0.6","96.1","24","8","8","403","396","9977","59","12","5","0","0","0","9","15","62132"
"728","Merced County Office of Education","Merced Scholars Charter","Merced","High School","107","4.7","0","0.9","3.7","0","68.2","0","3.7","0","23.4","59.8","29.7","10","0","N/A","N/A","N/A","41","19","20","0","1","0","10","9","64706"
"729","Merced Union High","Golden Valley High","Merced","High School","1716","8.8","0.3","12.6","3.7","0.6","64.3","0.1","3.9","0.1","14.5","82.7","25.3","11","6.5","459","441","11488","56","13","12","2","0","0","5","11","74987"
"730","Merced Union High","El Capitan High","Merced","High School","1557","9.5","0.7","12.2","5.6","1.7","61.7","0.1","0.7","0","17.3","74.2","21.5","16","5.5","449","443","11488","56","13","12","2","0","0","5","11","74987"
"731","Merced Union High","Livingston High","Merced","High School","1124","9.5","0.4","12.1","0.1","0.4","80.5","0.4","0.4","0","5.7","87.7","21.8","12","4.8","445","431","11488","56","13","12","2","0","0","5","11","74987"
"732","Merced Union High","Atwater High","Merced","High School","1885","8.6","0.4","3.9","2.4","0.5","73.7","0.2","0.3","0.1","18.4","82.2","21.6","11","3.7","428","419","11488","56","13","12","2","0","0","5","11","74987"
"733","Merced Union High","Buhach Colony High","Merced","High School","1764","7","0.8","9.6","3.1","0.9","60.3","0.2","0.3","0.3","24.6","72.8","22.9","13","5","464","448","11488","56","13","12","2","0","0","5","11","74987"
"734","Merced Union High","Merced High","Merced","High School","1706","7.3","0.8","9.9","7.2","1.8","59.3","0.2","1.2","0.1","19.6","74.9","20.4","13","4.8","494","456","11488","56","13","12","2","0","0","5","11","74987"
"735","Meridian Elementary","California Prep Sutter 8-12","Sutter","High School","48","N/A","2.1","2.1","10.4","0","8.3","0","2.1","10.4","64.6","0","9.6","1","0","N/A","N/A","12078","23","14","6","0","0","0","4","24","N/A"
"736","Middletown Unified","Middletown High","Lake","High School","466","5.6","1.3","0.2","0.4","0.4","21","0.6","3","1.1","71.9","65.7","19.6","16","7.2","515","477","11801","52","8","7","1","0","0","7","24","59242"
"737","Milpitas Unified","Milpitas High","Santa Clara","High School","3134","12.2","0.1","43.5","3.2","22.8","20.5","0.7","2.3","0","6.8","31.6","25.6","13","2.7","552","507","9422","64","10","5","0","0","0","4","9","83389"
"738","Modesto City High","Modesto High","Stanislaus","High School","2450","12.5","0.5","9.2","2.9","0.9","67.6","0.3","3.1","3.3","12","77.8","24.7","9","4.6","491","486","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"739","Modesto City High","Thomas Downey High","Stanislaus","High School","2026","10.2","0.3","1.6","2.6","0.5","60.4","0.4","3","1","30.2","68.8","24.2","9","6.3","490","458","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"740","Modesto City High","Fred C. Beyer High","Stanislaus","High School","1716","4.2","0.2","3.4","3.7","1.7","39.3","0.9","7.2","2","41.6","48.5","24.2","9","5.8","502","485","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"741","Modesto City High","Joseph A. Gregori High","Stanislaus","High School","2205","5.1","0.3","5.7","3.1","1.5","47.3","0.9","4.9","2.7","33.6","45.7","25","7","2.7","479","467","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"742","Modesto City High","James C. Enochs High","Stanislaus","High School","2407","2.4","0.5","5.9","3.8","3.9","39.3","1","5.7","2.9","36.9","43","25.9","6","2.3","512","491","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"743","Modesto City High","Grace M. Davis High","Stanislaus","High School","1661","19.9","0.5","5.4","3.5","0.6","58.9","1.3","5.7","4","20.2","77.9","23.2","8","5.7","430","423","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"744","Modesto City High","Peter Johansen High","Stanislaus","High School","1747","12.1","0.5","2.8","3.7","0.4","64.1","1.7","3.1","1.5","22.2","77.6","24.1","8","9.2","453","443","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"745","Modoc Joint Unified","Modoc High","Modoc","High School","220","2.3","7.7","1.4","2.3","0.5","15.5","0","0.5","0.9","71.4","40.9","16.1","11","14","486","457","10200","54","11","5","2","0","0","10","18","55183"
"746","Mojave Unified","California City High","Kern","High School","484","5","1","0.2","27.3","0.8","34.7","0.6","5.8","0","29.5","73.8","19.2","7","16.5","459","421","12153","55","11","12","1","0","0","6","12","66580"
"747","Mojave Unified","Mojave Jr./Sr. High","Kern","High School","273","17.6","1.5","0.4","20.1","1.1","58.2","0","2.9","0","15.8","85","18.1","11","12.9","0","0","12153","55","11","12","1","0","0","6","12","66580"
"748","Mono County Office of Education","Urban Corps of San Diego County Charter","Mono","High School","298","58.1","0.7","5","17.1","0","48","0","1.3","0.3","27.5","100","32.7","3","0","N/A","N/A","N/A","18","17","8","1","5","0","47","4","71015"
"749","Mono County Office of Education","California Heritage Youthbuild Academy II","Mono","High School","70","N/A","15.7","1.4","8.6","0","18.6","0","1.4","0","54.3","82.9","22.6","2","0","N/A","N/A","N/A","18","17","8","1","5","0","47","4","71015"
"750","Mono County Office of Education","Orange County Conservation Corps Charter","Mono","High School","124","46","0","0.8","0.8","0.8","87.1","0.8","0","0","9.7","79.8","27.6","1","0","N/A","N/A","N/A","18","17","8","1","5","0","47","4","71015"
"751","Monrovia Unified","Monrovia High","Los Angeles","High School","1781","4.3","0.5","3.2","9.3","2.8","59.6","0.1","1.9","0","22.6","49","24.4","12","3.6","499","481","11516","56","10","8","1","0","0","7","17","77349"
"752","Montebello Unified","Applied Technology Center","Los Angeles","High School","565","11.5","0.2","0.4","0.5","0.9","92.7","0","0.4","0.7","4.2","83.5","21.9","8","5.5","414","418","11432","58","14","10","0","0","0","6","10","83736"
"753","Montebello Unified","Montebello High","Los Angeles","High School","2734","15.3","0.2","0.5","0.5","0.7","95.3","0.1","0.2","0","2.4","87.1","25.5","15","4.3","451","436","11432","58","14","10","0","0","0","6","10","83736"
"754","Montebello Unified","Bell Gardens High","Los Angeles","High School","3043","18.7","0.1","0","0","0","99.2","0","0.1","0","0.4","92.1","26.2","16","4.6","432","425","11432","58","14","10","0","0","0","6","10","83736"
"755","Montebello Unified","Schurr High","Los Angeles","High School","2847","11","0","7.7","0.4","0.7","89","0.1","0.5","0","1.6","81","27.2","17","3.8","479","448","11432","58","14","10","0","0","0","6","10","83736"
